16 77
--, --, 🪞, 🠕 , --, --, 🪞, --, --, --, 🠕 , --, --, --, --, 🪞, --, --, --, --, --, 🠖, --, 🪞, 🠗 , --, --, 🠔, 💀, 🪞, --, --, --, 🪞, --, 🠗 , --, --, 🠕 , --, 🪞, --, --, --, 🠗 , --, --, 💀, --, 🠖, --, 💀, --, 🠔, --, 🠕 , 🠗 , --, --, --, 🍬, --, --, --, --, --, --, --, 🠕 , --, 💀, --, --, --, --, 🠔, --, 🍬, 🪞, --, --, --, 🠗 , --, --, 🠖, 🪞, 🠖, --, 🠗 , --, 🠖, 🠕 , --, --, 🠖, --, --, --, 🠖
--, --, --, --, --, 🠖, --, 🍬, 🠔, 🠗 , --, 💀, 🠕 , --, --, --, --, 🠗 , 🠕 , --, 🠔, 🠔, 🠕 , --, 🠖, 💀, --, --, --, 💀, --, 🠔, --, --, 🪞, --, 🍬, --, --, --, --, --, 🠖, --, 🍄, --, 💀, 🍬, --, 💀, 🍬, 🠗 , --, --, 🠗 , 🍬, --, --, --, --, 🠔, --, 🠖, --, --, --, --, --, 💀, --, 🠗 , 🍄, --, --, --, 🠗 , 🠕 , --, --, --, 🠖, --, 🍄, --, 💀, --, 💀, --, 🠕 , --, --, --, --, 🠔, --, --, 🍄, --, --, 🪞
💀, --, 🍄, 🠖, --, 🪞, --, --, --, 💀, --, --, --, --, 🪞, 🠕 , 🍄, --, --, 🠗 , 🪞, --, --, --, --, --, --, --, 🍄, --, 🪞, 🠖, --, 🠔, 🍬, 🠔, 🪞, 🠔, --, 🠔, 🍄, --, 💀, 🍄, 🠖, --, --, --, --, --, 🠕 , --, 🍄, --, --, 🠖, --, --, 💀, --, --, --, 🠕 , --, 🪞, 🪞, --, 🠗 , --, --, 🠖, --, --, --, 🠗 , 💀, --, 🠗 , --, 🠔, 🪞, 🠗 , --, --, --, --, --, --, 🍄, 🠔, --, 🍬, --, 🠗 , --, 🠕 , --, --, --, 🠗 
💀, 🠕 , --, --, 🍬, --, 🠗 , 🠖, 🠗 , 🪞, --, 🠕 , --, 💀, 🪞, 🍄, --, --, --, --, 🠖, 🠔, --, --, --, --, 🍄, 🍬, --, 🠖, 🪞, --, 🠖, 🍬, --, --, --, --, 🍄, --, --, --, 🠖, --, 🠖, --, 🪞, --, --, --, 💀, --, 🠔, 🍄, --, 🪞, --, --, --, --, 🪞, --, --, --, 🠖, --, 🠔, 🠗 , --, --, 💀, --, --, --, --, --, --, --, 💀, --, --, 🍬, --, 🠖, --, 🠖, --, 🍄, 💀, --, --, 🠗 , 🠕 , --, --, --, 🪞, --, --, --
--, --, 🍬, --, --, 🠕 , 🠔, --, 💀, --, 🠔, 🠖, 🍄, --, 🍄, --, 🠔, --, 🪞, --, --, --, --, --, 💀, 🍄, --, 🪞, --, 🍬, 🠔, 🍬, --, --, --, --, --, --, 🪞, --, --, 🍬, --, 🪞, 💀, --, --, --, --, 🠖, 🠕 , 🍄, 🠕 , --, 🠗 , --, 🍄, 🍄, --, 💀, --, 💀, 💀, 🠕 , 🠗 , --, 🍄, 🠔, --, 🠖, 🠖, --, --, 🪞, 🍄, --, --, 🍬, --, 🠗 , 🠖, --, --, --, --, 🠖, --, --, 🪞, --, --, 🠕 , --, 🠕 , 🠖, --, --, --, --, --
🠕 , --, --, --, 💀, --, --, --, --, 🪞, --, 🍬, --, --, --, --, 🍄, --, --, 🠕 , --, --, --, 🪞, 🍬, 💀, --, 🍬, --, 🠔, --, --, --, 🠔, 🠗 , --, 🠔, --, 🠗 , --, --, --, 💀, --, --, --, --, 🠔, 🍬, 🪞, --, 🠖, --, --, 🍬, --, --, 🠖, 🠕 , --, --, --, --, 🠗 , 🍄, 🍄, --, 🍬, 🍬, --, 🍬, 🪞, 🪞, --, --, 🪞, 🪞, 💀, 🍬, --, --, --, --, --, --, --, --, --, 🠕 , --, --, 🠔, --, 🍄, 🠗 , --, 🠖, 🪞, 🍄, --
--, --, --, 🠕 , --, --, 🠕 , --, --, --, --, --, --, 🠗 , --, --, --, --, 🍬, --, 🠖, --, --, 🠗 , --, 🍬, --, --, --, --, --, --, 🪞, --, --, 🪞, --, --, 🠔, --, --, 🍄, --, --, 🠖, 🍬, --, --, 🍬, --, --, --, 🍄, --, --, --, 🠔, 🠔, --, --, --, --, 🠕 , --, --, --, 🪞, 🠖, --, --, --, 🠗 , --, --, 🠗 , --, 🠔, 🐹, --, --, 🠔, --, --, --, --, --, --, --, 🍄, --, --, --, --, 🍄, 🍄, --, --, --, --, 🪞
--, 🠕 , --, --, 🠕 , 🍄, --, 🠔, 🠕 , --, --, --, --, 🠕 , --, --, 🠕 , 🪞, --, --, 💀, 🍬, --, --, 💀, --, 🍄, --, --, --, --, --, --, --, --, 💀, --, 🍬, 🪞, 🍄, --, 🠔, 🍬, 🠖, 🠔, --, 🍄, --, --, --, --, --, --, --, --, --, 🠔, --, --, 🪞, --, --, --, --, 🪞, 🍬, --, --, 🠔, 💀, 🍬, 🍬, 🍬, 🪞, --, 🪞, 🠕 , --, --, --, --, --, --, --, 🠕 , --, --, --, 🠔, --, 💀, 🪞, --, 🍬, 🠖, --, --, --, 🠕 , --
--, 🍬, --, 🠖, 🪞, --, --, --, --, 🍄, --, 🍬, --, --, 🠗 , --, --, 🪞, --, --, --, 🠖, 🠔, 🠗 , 🠖, --, --, 💀, --, 🠖, --, --, --, 🍬, --, 💀, --, --, 🍄, 🍄, --, --, --, --, 🪞, 🠔, --, --, --, 🪞, 🠖, 🍬, --, --, --, 🠕 , 🠔, 💀, --, --, --, --, --, --, --, --, 🠗 , --, 💀, --, 💀, --, --, --, --, 🍄, --, --, --, --, --, 💀, --, 🠖, --, --, 🍬, --, --, 🍬, 🠕 , --, 🠖, --, --, 🍄, 🠕 , --, 🠖, --
--, --, --, 🠗 , 🍄, 🠖, 🍄, 🍬, --, --, --, --, --, --, --, --, 🍬, 🠕 , --, --, --, 💀, --, 🍬, --, 🠕 , --, --, 🠖, --, 🠗 , --, --, 🠗 , 🍄, --, --, --, --, --, 🠗 , 🍬, --, --, --, --, 🍬, 🠔, 🠗 , --, 🍄, --, --, 🠖, --, 🍄, --, 🠔, --, 🠖, 🪞, 🠔, --, --, 🠖, 🠗 , --, --, --, 🪞, --, --, 🠕 , 🠖, 🠕 , --, --, 🪞, --, --, 🍄, --, 🠖, 🍬, 🠕 , --, --, 💀, 🍬, 🪞, 🠗 , --, --, --, 🠔, --, 🠔, --, 🍬, 🠕 
--, --, --, --, --, 🠗 , --, --, --, --, --, 🠕 , 🪞, --, 🍬, 🠗 , --, --, 🍬, --, --, --, --, --, --, 🪞, --, 💀, --, 🠕 , --, --, --, --, --, --, --, 🪞, --, --, --, --, --, --, 🠖, --, --, 🪞, 🠗 , --, 💀, --, 🍬, 🠗 , --, --, 💀, 🠕 , --, 🍄, --, --, --, --, 🠗 , 🍄, 🍄, --, 🪞, --, --, 🍄, --, --, 🍬, --, 🠕 , --, 🠔, 🍬, 🠔, --, --, --, --, 🍬, --, 🠗 , 💀, --, --, --, --, 💀, --, 💀, 🠔, 🍄, --, 🍄
--, --, 🠗 , 💀, --, 🍬, 🠖, --, 🠕 , --, --, 🠕 , 🠕 , --, --, --, 🠖, 🠕 , 🍬, 💀, 🠗 , 🠖, 🍄, 🍄, --, 🍄, 🍬, --, 🠔, 🠗 , 🠔, 🠕 , --, 🠕 , --, --, --, 🠕 , 🍄, --, --, --, 🍬, --, --, 🍄, --, --, 🠗 , --, --, 🠖, --, 🍄, --, 🪞, 🠔, 🍬, --, --, 🠖, --, 🠕 , 🠔, --, --, 🠔, --, 🠕 , --, --, --, 🠗 , 🠗 , 🠕 , 🠖, --, 💀, 🠗 , --, --, 🍄, --, --, --, --, 🠗 , 🠖, 🠔, --, --, 🍄, 🠕 , --, --, --, 🪞, 💀, --, 🍄
🍄, --, --, 🠖, 🠖, 🍬, 🠗 , --, --, 🠕 , --, --, --, --, 🠗 , --, --, 🍬, 🠖, --, 🠕 , --, --, 🠖, --, 💀, 🠖, --, --, --, 🪞, --, --, 🠔, --, 🠖, 🠖, 💀, --, --, --, --, --, --, 🠖, --, --, --, --, 🍬, --, 🍄, 💀, --, --, --, --, --, 🠕 , 🠕 , --, 🠔, --, 🠔, 💀, 🍄, --, 🠔, --, --, --, --, 🠔, --, --, --, --, 🠕 , --, 🠗 , --, --, --, --, --, --, --, 🍄, --, --, --, --, --, 🠔, --, 🍬, 🠔, --, 💀, --
--, 🪞, --, --, --, --, --, 🠖, --, --, --, 🍬, --, 🠕 , --, --, --, 🠗 , --, --, 🍄, --, --, 🍬, 🠕 , --, --, --, 🠖, 🠕 , 🠔, --, 🠔, 🠕 , --, --, --, --, 🠖, 🍄, --, 🠖, --, --, 🍄, --, 💀, 🍄, 🪞, --, 🍬, --, --, 🪞, --, --, 🠗 , 🠕 , --, 🍄, --, 💀, --, --, --, --, --, 🍬, --, --, --, --, 🍄, 🠖, --, --, 🍄, --, --, --, 🪞, --, 🠕 , --, 🠕 , --, --, --, --, --, --, 🠖, --, --, --, --, 🠖, --, --, 💀
--, --, --, --, 🠖, 🠕 , 🠕 , --, 🠖, 🠖, --, --, 🠗 , --, --, 💀, 🍬, --, 🠖, 🠕 , --, 🠕 , --, 🠗 , --, --, --, 🠔, --, 🠕 , 🍬, --, --, --, 🠔, 🍄, --, --, 🍄, --, --, 🪞, 🍄, --, 💀, --, --, --, 🍄, 🠔, 🠕 , --, 💀, --, --, --, --, 🠔, --, --, --, 🪞, --, --, --, --, --, --, --, --, --, --, --, 🠔, 🠖, --, --, --, 🪞, 🠗 , --, --, 💀, 💀, 🠖, --, 🍄, 🠕 , 💀, --, --, 🠖, 🍄, --, --, --, --, --, --, --
--, 🠕 , --, --, 🪞, --, 🠔, 🠕 , --, 🠕 , 🠖, 🍄, --, 🠗 , --, --, --, --, --, 🠗 , --, --, 🍬, 🠖, --, 🠔, --, 🠕 , 🠖, --, 🍬, --, 🪞, --, 🠗 , --, --, 🪞, --, --, 🍬, 🪞, --, --, --, --, 🠔, 💀, --, 💀, --, 💀, 🠔, --, 🠖, --, 🍄, 🠕 , --, --, --, 🠖, 🍄, --, 🠖, --, 🠖, --, --, 🠖, --, --, 🠖, 🍄, --, 🠔, 🍬, --, --, --, 🠗 , 🠔, --, --, 🍬, 🍬, --, --, --, 🠕 , 🍬, --, --, --, --, --, --, --, 🠔, --
--, 🠖, --, 🍬, 🠗 , --, --, --, 🍬, 🠔, 🪞, --, --, 🪞, --, --, 💀, --, 💀, 💀, 🍄, 🠔, 🍄, --, --, --, --, 🠔, --, --, 🠖, 🠕 , --, 🠔, 🠔, --, --, --, 🍬, 🠔, --, 🠔, --, 🠗 , 🠕 , 🠖, --, --, --, 🠗 , --, --, 🠗 , --, 🍄, --, --, --, --, 🠗 , 💀, --, --, 🠖, 🪞, --, 🠕 , 🍄, --, --, --, --, 🠕 , --, 🠔, --, --, --, --, --, 💀, 🍬, --, --, 🍬, --, --, --, 🠗 , --, 🠕 , --, --, --, --, 🍄, 🍬, --, --, --
💀, --, 🠗 , --, --, --, 🠔, 🠗 , --, --, 🍬, --, --, 🍬, --, 🠔, --, --, --, 💀, --, 🠔, 🍄, --, 🠖, 🠗 , 🪞, --, 🍬, 🠗 , 🪞, --, 💀, --, 🠕 , --, --, --, --, --, 🠕 , --, --, --, 💀, 🠕 , --, --, 🠔, --, --, --, 🍄, --, 🠕 , 🪞, --, --, --, --, --, --, 🍄, 🠔, 🍬, --, 🪞, --, --, --, 💀, 🠔, --, 🠕 , --, --, --, 🠖, 🠖, --, --, 💀, --, --, --, --, --, --, 🠔, 🠖, --, --, 🍬, --, --, 🠗 , 🠗 , 🠖, --, --
--, 🠔, --, 💀, --, 🠗 , 🠕 , 🍄, 🪞, --, --, --, 🠔, --, --, --, 🪞, 🠔, 🍬, 🪞, --, 🠔, 🍬, --, --, --, --, 🍄, --, --, --, --, --, 🠖, --, 🠕 , 🠕 , 🠗 , --, --, 💀, 💀, --, 🪞, --, --, --, --, 🍄, --, --, --, 🠔, --, 🠕 , --, --, 🍄, 🠗 , --, --, 🪞, 🍬, 🍬, --, 🠖, --, --, 🠔, --, 🠖, --, --, 💀, 🠗 , --, --, 🍄, --, 🍬, --, 🠗 , 🍬, --, 🍄, --, --, 🍄, 🠕 , 🠕 , --, 🍬, --, --, 🍬, --, 🠔, 🠗 , 🪞, --
--, 🪞, --, 🠗 , --, --, --, 🠕 , 🪞, 🍄, 🠗 , 🠖, --, 🠖, --, --, 🠔, --, 🪞, --, --, --, 🍬, --, --, 💀, 🪞, --, --, 🠕 , --, --, 💀, 🠕 , --, --, --, 🍄, --, --, --, --, 🠕 , 🠕 , 🍬, --, --, --, --, --, --, 🍬, --, 🠕 , 🠔, 🠖, --, --, --, 🍬, --, --, 🍬, 🠔, 🪞, 🠔, 🍄, --, --, 💀, --, 🠗 , --, --, --, --, --, --, --, 🪞, --, --, 🠗 , --, 🍬, 🍄, --, 🠔, --, --, 🍬, --, --, --, 🠖, 🍄, --, --, --, 🠕 
--, --, --, --, --, --, --, --, 🪞, 🍄, --, --, --, --, --, 🍄, --, --, --, 🠗 , --, --, 🪞, 🠕 , --, 🪞, --, 🠔, --, --, --, --, --, 🪞, 🠖, --, --, 💀, --, 💀, --, --, 🠕 , 🍄, --, 🍄, --, 🍬, --, 🍄, 🠔, --, --, 🠗 , --, --, 🠕 , 🠖, 🠖, --, 🠗 , --, --, --, 🠗 , --, 🠗 , --, 🠖, --, --, 🍬, --, 🠖, --, --, --, --, --, 🍬, 🠕 , 🠔, 🍬, 🍄, --, --, --, 🍄, 🍬, --, --, --, --, --, 🪞, --, --, 🪞, --, --
🠔, 🠔, 🍬, 🍄, --, --, 🍄, 💀, 🪞, --, --, 💀, --, 🪞, 🠖, --, --, 🠗 , --, --, 💀, --, 🍄, 🪞, --, --, 🍬, --, --, --, --, --, --, 🠕 , --, 🠖, --, 🠖, --, 🠔, --, --, 🠖, --, --, --, --, 🍬, 🍄, --, 🠗 , --, 🍄, --, --, --, --, --, 🠗 , 🍄, 🠔, --, 🪞, --, 🍬, 🠕 , --, --, 🠔, --, --, --, --, --, --, --, --, --, --, --, 🠗 , --, 🍄, 🠔, --, 💀, --, 🠔, --, --, --, --, 🠔, --, --, --, --, --, --, --
--, --, 🍄, --, 💀, 🠔, --, 🠔, --, --, --, --, --, 🍄, --, --, 🠖, --, --, 🍄, --, --, --, --, --, --, --, 🠔, --, 💀, --, 🍬, --, --, --, --, 🠗 , --, 💀, --, --, 🠖, --, 🠕 , --, 💀, 🍬, --, --, --, --, 🪞, --, --, --, --, 🠕 , --, 🍬, --, 🠔, --, 🍄, --, --, 🪞, 🠖, --, --, 🍄, --, --, --, --, --, --, --, --, 🠗 , --, --, --, 🍬, 🍄, 🍬, --, --, --, 🠗 , --, --, --, --, 🍄, 🍬, --, 🍬, 💀, --, --
🠕 , --, --, --, --, 🠗 , 🍬, 🍬, --, 🠔, --, 🍬, 🠗 , --, --, 🍄, 💀, 🠗 , --, 🠕 , --, 🍬, --, --, --, 🠕 , --, --, --, --, --, 🠔, 💀, 🍬, 🪞, --, --, --, --, 🠗 , --, --, --, --, --, --, 🠗 , 🍬, --, --, --, 🠕 , 🠕 , --, 🠖, --, --, --, --, --, --, --, 🍬, --, 🪞, --, 🪞, --, 🠗 , 💀, 🠔, 🠕 , 🍬, 🠕 , --, --, 🪞, --, 🪞, 🪞, 💀, --, 🠖, --, 🍄, 🠖, 🍬, 🍄, 💀, 🠔, 🠖, --, --, --, --, --, 🍄, --, --, --
🍄, --, --, --, --, --, --, --, --, --, --, 🍄, 🠕 , 💀, --, --, 🪞, --, --, 🪞, 💀, --, --, 🍄, --, --, --, --, --, --, 🠔, 🍄, 🠔, --, --, --, 🠗 , 🠖, 🠗 , 🍬, 🠕 , 🠖, --, --, --, 🠖, 🍄, --, 🍄, 🠕 , --, 🍄, --, --, --, --, 🍬, --, 🠖, --, 💀, --, 🍬, --, 🠔, --, --, --, --, 🠕 , --, --, --, --, 🍄, 🠗 , 🠕 , --, --, 🠖, --, --, --, --, --, 🠖, --, --, --, --, --, --, --, --, --, 🍄, --, --, --, 🠖
--, --, 🠗 , --, --, 🠔, 🠗 , --, 🍬, --, 💀, 🠕 , --, 🪞, 💀, --, --, --, 🠔, 🍬, 🠕 , --, --, --, --, 💀, --, 💀, --, 🍬, --, --, --, 🍄, --, --, 🍬, --, --, --, 🠗 , 🠗 , --, --, --, 🍬, --, --, 🠕 , 🠕 , --, --, --, --, 🍬, 🪞, 🠖, --, --, --, --, 🍄, --, --, 🠖, 🠔, 💀, 🪞, --, --, --, 🠔, --, --, 🠖, --, 🠖, 🍬, --, 🪞, --, --, 🪞, 🠕 , 🠖, 🍄, --, 💀, --, --, 🠗 , --, --, 🍬, --, --, --, --, 🠖, --
🠕 , --, 💀, --, --, --, 🠖, --, --, --, --, --, 💀, 🍬, --, 🠔, --, --, --, --, 🪞, 🠖, 🠔, --, 🍄, --, 🍬, --, --, --, 🠗 , --, --, 🠗 , --, --, --, --, 🍄, --, --, --, 🠔, --, 🠖, --, 🠖, --, 🠖, --, --, 🠕 , 🍬, 🠕 , --, --, --, --, 🠗 , 🠖, 🪞, 🠕 , --, --, 🍄, 🠔, 🍬, --, --, --, --, --, 🠖, 💀, --, 🍄, --, --, --, --, 🠕 , 🍄, --, 🪞, --, --, --, --, 🠗 , --, --, --, 🪞, 🠕 , 🍄, --, 🠗 , --, --, --
🠔, --, 🠔, --, --, 🍬, --, --, 🠖, --, --, 🪞, --, --, --, --, --, 🠕 , --, --, --, --, 🠖, --, --, --, --, --, --, --, --, --, --, 🠔, --, --, --, --, 🍄, --, 💀, --, --, 🠔, 🍄, 🠗 , --, --, 💀, 🍄, 🪞, 🠖, --, --, 🍬, --, --, --, --, 🠗 , --, 🠗 , --, 🠗 , --, --, 🪞, --, 🍬, --, --, --, --, --, --, 🠔, 💀, 💀, --, --, 🠗 , --, 🍄, 💀, --, 🠖, 🠗 , --, --, --, 🠖, --, --, --, --, 🠗 , 🍬, --, --, --
--, --, --, --, 🠗 , 🠕 , --, 🍬, 🠔, --, 💀, 🠕 , 💀, --, --, --, --, --, --, --, 🠗 , --, 💀, --, --, --, 🍬, 🠗 , --, --, --, 💀, --, --, 🠗 , --, --, --, --, --, --, 🍄, --, --, 🍬, --, 🠔, --, --, --, 🠗 , --, 🠕 , --, --, --, --, --, --, --, 🍬, --, --, --, 🠖, --, --, 🠖, 🍬, --, --, 💀, 🠕 , 🪞, --, --, --, --, --, --, --, 🍄, 🠔, 🠖, --, --, 🠗 , 💀, 🍄, 🠔, --, 💀, 🠗 , 🍄, 🍄, 🍬, --, 💀, 🠖, --
--, --, --, 🪞, --, 🍄, --, --, 💀, --, --, 🍄, --, 🠔, --, 🍬, 🍄, --, 🠗 , 🠔, --, --, --, 🠕 , 💀, --, 🠕 , 🠔, --, 🍄, --, --, --, --, --, 💀, --, --, --, --, 🠕 , --, --, --, 💀, --, --, --, --, 🠗 , --, 🪞, --, --, 🠗 , --, --, --, 🍄, --, --, --, 🠗 , --, 💀, --, --, 🠖, --, --, --, 🠗 , --, 🍄, --, --, --, --, --, --, --, 🪞, 🪞, --, --, 🪞, --, --, 🍄, --, --, --, 🠔, 🍬, --, --, --, --, --, --
--, 🪞, --, --, 💀, --, --, 🍬, --, --, 🠕 , --, --, 🠔, 🠗 , --, --, --, --, --, --, 🠕 , --, --, --, --, --, --, --, 🍬, 🠗 , 🠕 , --, --, --, --, --, --, --, --, --, --, 🪞, 🠗 , 🠕 , --, --, 🠔, --, 🍬, --, --, --, 🪞, 🠗 , 🠕 , --, --, 🠗 , --, --, 🠕 , --, 🪞, 💀, --, --, --, 🠔, 🠗 , 🪞, 🠕 , --, 🍬, --, --, --, 🪞, --, --, --, --, --, 🍄, 🠖, 🪞, --, --, --, 🠔, 🠕 , --, 🠕 , --, --, --, 🪞, --, 🍄, --
🠔, --, --, --, 🠗 , 🠖, --, --, --, 🍄, 💀, 🍬, 🠔, --, 💀, 🠗 , 🪞, --, --, --, --, 🪞, --, 🠗 , --, --, --, --, 💀, 🪞, 🠗 , 🪞, --, 🍄, 🠗 , --, 💀, --, 💀, --, --, --, 💀, --, 🠔, 🠔, 🠗 , --, --, --, --, 🠕 , --, 🠕 , --, --, 🠕 , 🠖, --, --, 🠗 , --, --, --, --, --, --, 🠔, --, --, --, --, --, 🍄, --, --, --, 🠗 , --, 🠗 , 🪞, 🍄, --, --, --, 🠕 , 🠖, 🠖, --, 🠔, --, 🠗 , --, --, --, 🍬, --, --, --, --
