7 15
🍄, 🠕 , 🠕 , --, --, --, --, 🠕 , 🍬, --, --, --, --, 🠖, 🍄, --, 🍬, --, --, --, --, 🠖, --, 💀, 🏁, 💀, 🠖, --, --, 🠔
🠕 , 🪞, 🠖, 🍬, --, --, 🪞, 🠕 , 🠕 , 🠕 , --, 🠗 , --, --, 🠔, --, 🍄, --, --, --, --, --, 💀, --, --, 🠖, --, --, --, 🪞
🪞, --, --, 🠔, --, --, 🪞, 🠔, 🍬, 🠖, --, --, 💀, --, --, --, --, --, --, --, 🍄, --, 🍄, --, --, 🪞, 🠖, --, 🠖, --
--, 🪞, 🠗 , 🍄, 🠗 , --, --, --, --, --, --, --, 🠗 , --, --, 💀, --, 🪞, 🠖, --, --, 🠕 , 🪞, --, --, 🍄, --, 💀, --, --
--, --, 🍄, 🍬, --, --, --, 🪞, --, --, --, 🪞, 🠔, --, --, --, 🪞, 🍄, --, --, 🪞, 🠗 , 🠖, --, --, 🍄, --, --, --, --
--, 🍄, --, --, --, 💀, --, --, --, --, --, --, --, 🠖, --, --, --, --, --, --, 🪞, 🠗 , 🪞, --, 🠕 , --, --, --, 🠖, --
--, 🪞, 🍬, --, 🪞, --, --, 🠔, 🠗 , 🪞, --, --, --, --, --, --, 🠔, --, 🠕 , --, --, --, --, --, --, --, --, 🠔, 🍄, --
🍬, --, 🠖, --, 🠔, --, --, --, --, --, --, 🠔, --, --, --, --, 🍄, --, --, 🍬, 🠖, --, --, 🠖, 🪞, 🠔, 💀, 🠔, 🍄, --
--, --, 🠔, --, --, --, --, 🍄, 🠕 , --, --, 🍄, --, --, --, --, --, --, --, --, 🍄, 🠔, 🠕 , --, --, --, --, --, 💀, 🪞
🍬, 🠔, 🠕 , --, 🠗 , --, --, 🠗 , --, --, --, --, --, 🪞, 🠕 , 🠖, --, --, 🪞, 🪞, --, --, --, --, --, 🍬, --, --, --, 🍬
--, --, --, --, --, --, --, --, 🠗 , 💀, --, --, 🠔, --, 🠕 , 🍄, --, 🪞, --, 🠖, --, --, --, --, --, --, --, --, --, 🍬
🍬, --, --, 🍄, --, 🪞, --, 🪞, --, 🠗 , --, 🍄, --, 🠕 , --, --, 🪞, --, --, 💀, 🠕 , --, --, --, 🍄, --, 🠔, 🍄, --, --
--, --, 🠔, 🠗 , --, 🠔, --, --, 🠔, 🠖, --, 🠔, --, 🠗 , --, --, --, --, --, --, 🠖, 🍄, --, 🪞, 🪞, --, --, --, --, 🍬
🠕 , --, 🠕 , --, 🠖, --, --, 🠕 , --, 🍄, --, 🠗 , --, --, 💀, 🠗 , --, --, 🠕 , --, 🍄, --, 🪞, --, 🍄, --, --, 🠗 , 🠗 , --
💀, --, --, --, 🪞, --, 🪞, 🍬, --, --, 💀, --, 🠖, --, --, --, --, 🪞, 🠗 , --, 💀, --, 🍄, --, 💀, --, 🠕 , 🪞, --, --
